GenBank accession	TaxID	Organism	Description	Length	Phylum	Class	Order	Family	Genus	Genetic code	GC%	Percentage genome with GC50
KX885104.1	474922	Colletotrichum gloeosporioides	Colletotrichum gloeosporioides strain LQ33 mitochondrion, complete genome	55169	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	34.5668	10.0817
NC_014344.1	170000	Phakopsora pachyrhizi	Phakopsora pachyrhizi mitochondrion, complete genome	31825	Basidiomycota	Pucciniomycetes	Pucciniales	Phakopsoraceae	Phakopsora	4	34.566	0
NC_044677.1	1156444	Phellinus lamaoensis	Phellinus lamaoensis strain FFPRI411162 mitochondrion, complete genome	45604	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	4	34.5482	6.90789
MH725796.1	1916073	Termitomyces sp.	Termitomyces sp. strain T13 mitochondrion, complete genome	155430	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Termitomyces	4	34.518	5.21236
NC_027509.1	54899	Diaporthe longicolla	Diaporthe longicolla mitochondrion, complete genome	53439	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	4	34.3689	6.46067
KX885105.1	1215731	Colletotrichum aenigma	Colletotrichum aenigma strain XY15 mitochondrion, complete genome	57252	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	34.2852	10.7612
KX885098.1	690259	Colletotrichum siamense	Colletotrichum siamense strain ZH02 mitochondrion, complete genome	54679	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	34.2509	9.06593
KX885099.1	690259	Colletotrichum siamense	Colletotrichum siamense strain ZH03 mitochondrion, complete genome	54658	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	34.1044	10.1648
KR809877.1	29924	Mucor circinelloides f. lusitanicus	Mucor circinelloides f. lusitanicus strain CBS 277.49 mitochondrion, complete genome	31831	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	4	34.0912	1.41509
NC_024200.1	549293	Lichtheimia hongkongensis	Lichtheimia hongkongensis mitochondrion, complete genome	31830	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia	4	34.0912	1.41509
KX034082.1	690256	Colletotrichum fructicola	Colletotrichum fructicola mitochondrion, complete genome	56051	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	34.0518	10.7239
MT880589	36044	Erysiphe pisi	NA	188623	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	4	34	3.71
KY575054.1	1940568	Juglanconis oblonga	UNVERIFIED: Juglanconis oblonga isolate AR4414 mitochondrion sequence	193644	Ascomycota	Sordariomycetes	Diaporthales	Juglanconidaceae	Juglanconis	4	33.9127	3.25581
MT880588	52586	Erysiphe necator	NA	188577	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	4	33.86	2.91
KX885101.1	690259	Colletotrichum siamense	Colletotrichum siamense strain LQ22 mitochondrion, complete genome	58666	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	33.8431	8.4399
NC_020353.1	288795	Microbotryum lychnidis-dioicae	Microbotryum lychnidis-dioicae strain MvSl135HT1 mitochondrion, complete genome	107808	Basidiomycota	Microbotryomycetes	Microbotryales	Microbotryaceae	Microbotryum	4	33.7512	0.278552
KY575056.1	1940568	Juglanconis oblonga	UNVERIFIED: Juglanconis oblonga isolate MAFF410216 mitochondrion sequence	181422	Ascomycota	Sordariomycetes	Diaporthales	Juglanconidaceae	Juglanconis	4	33.6581	2.81224
KY575057.1	1940567	Juglanconis juglandina	UNVERIFIED: Juglanconis juglandina isolate CBS 121083 mitochondrion sequence	267504	Ascomycota	Sordariomycetes	Diaporthales	Juglanconidaceae	Juglanconis	4	33.6575	1.73864
KY911090.1	223818	Malassezia japonica	Malassezia japonica culture CBS:9431 mitochondrion, complete genome	28009	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	33.3154	0
NC_044678.1	175648	Coniferiporia sulphurascens	Coniferiporia sulphurascens strain FP133613(A)Sp mitochondrion, complete genome	58959	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Coniferiporia	4	33.179	2.79898
MN623378.1	2046349	Cryptococcus sp. (in: Fungi)	Cryptococcus sp. (in: Fungi) mitochondrion, complete genome	30029	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	4	33.1767	0
MH725798.1	1916073	Termitomyces sp.	Termitomyces sp. strain T123 mitochondrion, complete genome	124711	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Termitomyces	4	33.055	4.5728
KY575058.1	218668	Ophiognomonia clavigignenti-juglandacearum	UNVERIFIED: Ophiognomonia clavigignenti-juglandacearum isolate ATCC36624 mitochondrion sequence	175297	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Ophiognomonia	4	32.9532	1.45548
KY575055.1	2041886	Juglanconis sp.	UNVERIFIED: Juglanconis sp. isolate DMW523 mitochondrion sequence	186787	Ascomycota	Sordariomycetes	Diaporthales	Juglanconidaceae	Juglanconis	4	32.7834	1.5261
NC_020354.1	1288119	Microbotryum cf. violaceum BFL-2013	Microbotryum cf. violaceum BFL-2013 mitochondrion, complete genome	92107	Basidiomycota	Microbotryomycetes	Microbotryales	Microbotryaceae	Microbotryum	4	32.7655	0.325733
JX910421.1	117187	Fusarium verticillioides	Gibberella moniliformis mitochondrion, partial genome	53781	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	32.6313	0.558659
NC_016687.1	117187	Fusarium verticillioides	Gibberella moniliformis mitochondrion, complete genome	53753	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	32.6071	0.837989
JX910420.1	5127	Fusarium fujikuroi	Fusarium fujikuroi mitochondrion, partial genome	46761	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	32.4502	0.96463
MN259515.1	299031	Fusarium oxysporum f. sp. lactucae	Fusarium oxysporum f. sp. lactucae strain 09-002 mitochondrion, complete genome	45020	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	32.4222	0.333333
NC_036106.1	249398	Fusarium commune	Fusarium commune strain JCM11502 complete mitochondrion genome	47526	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	32.4177	0.316456
KC993188.1	5476	Candida albicans	Candida albicans strain CBS 562 mitochondrion, complete genome	40177	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	32.2647	0.374532
LT906306.1	5507	Fusarium oxysporum	TPA_asm: Fusarium oxysporum strain Fo47 complete mitochondrion genome	47547	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	32.2278	0
NC_002653.1	237561	Candida albicans SC5314	Candida albicans SC5314 mitochondrion, complete genome	40420	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	32.1834	0.743494
NC_023248.1	542766	Jaminaea angkorensis	Jaminaea angkorensis mitochondrion, complete genome	29999	Basidiomycota	Exobasidiomycetes	Microstromatales	Jaminaea		4	32.1508	0.502513
LT906334.1	120297	Fusarium oxysporum f. sp. niveum	TPA_asm: Fusarium oxysporum f. sp. niveum strain Fon002 complete mitochondrion genome	45677	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	32.1206	0.657895
KY911096.1	76777	Malassezia sympodialis	Malassezia sympodialis culture CBS:96806 mitochondrion, complete genome	38538	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	32.1146	0
KY911095.1	76777	Malassezia sympodialis	Malassezia sympodialis culture CBS:44340 mitochondrion, complete genome	38614	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	32.1064	0
LT671829.1	1230383	Malassezia sympodialis ATCC 42132	Malassezia sympodialis ATCC 42132 genome assembly, organelle: mitochondrion	38623	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	32.096	0
HF558646.1	1230383	Malassezia sympodialis ATCC 42132	Malassezia sympodialis ATCC 42132 complete mitochondrial genome	38622	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	32.096	0
KT428651.1	5116	Cryphonectria parasitica	Cryphonectria parasitica mitochondrion, complete genome	158413	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Cryphonectria	4	32.0448	1.04167
NC_025200.1	77105	Sclerotinia borealis	Sclerotinia borealis strain F-4128 mitochondrion, complete genome	203051	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	4	32.0118	0.369549
LT571433.1	1229665	Fusarium oxysporum f. sp. cubense race 4	TPA_asm: Fusarium oxysporum f. sp. cubense race 4 strain B2 complete mitochondrion genome	49697	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.9899	0.60423
MH374028.1	1047171	Zymoseptoria tritici	Zymoseptoria tritici isolate IPO323 mitochondrion, complete genome	43947	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zymoseptoria	4	31.9703	0.342466
NC_010222.1	1047171	Zymoseptoria tritici	Mycosphaerella graminicola mitochondrion, complete genome	43964	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zymoseptoria	4	31.9431	0.341297
NC_025928.1	569362	Fusarium gerlachii	Fusarium gerlachii strain CBS 123666 culture-collection CBS:123666 mitochondrion, complete genome	93428	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.9143	0.803859
KR952337.1	5507	Fusarium oxysporum	Fusarium oxysporum strain UASWS AC1 mitochondrion, complete genome	51536	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.9086	0.874636
NC_044490.1	2600298	Fusarium bambusae	Fusarium bambusae strain 5137 mitochondrion, complete genome	63593	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.907	0.472813
NC_005927.1	153609	Moniliophthora perniciosa	Moniliophthora perniciosa mitochondrion, complete genome	109103	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	4	31.8753	12.5172
NC_042219.1	39966	Hypsizygus marmoreus	Hypsizygus marmoreus mitochondrion, complete genome	102752	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Hypsizygus	4	31.8618	4.9635
NC_009493.1	5518	Fusarium graminearum	Fusarium graminearum mitochondrion, complete genome	95676	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.8409	2.04082
NC_037233.1	1903189	Alectoria fallacina	Alectoria fallacina voucher NYBG:Lendemer 46255 mitochondrion, complete genome	75417	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Alectoria	4	31.822	0.796813
MF155191.1	5507	Fusarium oxysporum	Fusarium oxysporum isolate mh2-2 mitochondrion, complete genome	46026	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.8061	0.653595
